13.7251 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
25.4882 	EXP 	window1: blendMode = 'avg'
25.5047 	EXP 	window1: blendMode = 'avg'
25.5217 	EXP 	window1: blendMode = 'avg'
25.5388 	EXP 	window1: blendMode = 'avg'
25.5551 	EXP 	window1: blendMode = 'avg'
25.5712 	EXP 	window1: blendMode = 'avg'
25.5879 	EXP 	window1: blendMode = 'avg'
25.6052 	EXP 	window1: blendMode = 'avg'
25.6210 	EXP 	window1: blendMode = 'avg'
25.6376 	EXP 	window1: blendMode = 'avg'
25.6546 	EXP 	window1: blendMode = 'avg'
25.6714 	EXP 	window1: blendMode = 'avg'
25.6878 	EXP 	window1: blendMode = 'avg'
25.7048 	EXP 	window1: blendMode = 'avg'
25.7213 	EXP 	window1: blendMode = 'avg'
25.7379 	EXP 	window1: blendMode = 'avg'
25.7543 	EXP 	window1: blendMode = 'avg'
25.7709 	EXP 	window1: blendMode = 'avg'
25.7875 	EXP 	window1: blendMode = 'avg'
25.8042 	EXP 	window1: blendMode = 'avg'
25.8208 	EXP 	window1: blendMode = 'avg'
25.8377 	EXP 	window1: blendMode = 'avg'
25.8542 	EXP 	window1: blendMode = 'avg'
25.8707 	EXP 	window1: blendMode = 'avg'
25.8875 	EXP 	window1: blendMode = 'avg'
25.9043 	EXP 	window1: blendMode = 'avg'
25.9207 	EXP 	window1: blendMode = 'avg'
25.9374 	EXP 	window1: blendMode = 'avg'
25.9544 	EXP 	window1: blendMode = 'avg'
25.9709 	EXP 	window1: blendMode = 'avg'
25.9874 	EXP 	window1: blendMode = 'avg'
26.0041 	EXP 	window1: blendMode = 'avg'
26.0209 	EXP 	window1: blendMode = 'avg'
26.0375 	EXP 	window1: blendMode = 'avg'
26.0541 	EXP 	window1: blendMode = 'avg'
26.0708 	EXP 	window1: blendMode = 'avg'
26.0876 	EXP 	window1: blendMode = 'avg'
26.1045 	EXP 	window1: blendMode = 'avg'
26.1209 	EXP 	window1: blendMode = 'avg'
26.1374 	EXP 	window1: blendMode = 'avg'
26.1541 	EXP 	window1: blendMode = 'avg'
26.1706 	EXP 	window1: blendMode = 'avg'
26.1876 	EXP 	window1: blendMode = 'avg'
26.2048 	EXP 	window1: blendMode = 'avg'
26.2208 	EXP 	window1: blendMode = 'avg'
26.2373 	EXP 	window1: blendMode = 'avg'
26.2542 	EXP 	window1: blendMode = 'avg'
26.2707 	EXP 	window1: blendMode = 'avg'
26.2875 	EXP 	window1: blendMode = 'avg'
26.3040 	EXP 	window1: blendMode = 'avg'
26.3208 	EXP 	window1: blendMode = 'avg'
26.3381 	EXP 	window1: blendMode = 'avg'
26.3541 	EXP 	window1: blendMode = 'avg'
26.3708 	EXP 	window1: blendMode = 'avg'
26.3873 	EXP 	window1: blendMode = 'avg'
26.4040 	EXP 	window1: blendMode = 'avg'
26.4208 	EXP 	window1: blendMode = 'avg'
26.4387 	EXP 	window1: blendMode = 'avg'
26.4541 	EXP 	window1: blendMode = 'avg'
26.4715 	EXP 	window1: blendMode = 'avg'
26.4873 	EXP 	window1: blendMode = 'avg'
26.5042 	EXP 	window1: blendMode = 'avg'
26.5209 	EXP 	window1: blendMode = 'avg'
26.5375 	EXP 	window1: blendMode = 'avg'
26.5541 	EXP 	window1: blendMode = 'avg'
26.5707 	EXP 	window1: blendMode = 'avg'
26.5875 	EXP 	window1: blendMode = 'avg'
26.6039 	EXP 	window1: blendMode = 'avg'
26.6206 	EXP 	window1: blendMode = 'avg'
26.6377 	EXP 	window1: blendMode = 'avg'
26.6542 	EXP 	window1: blendMode = 'avg'
26.6707 	EXP 	window1: blendMode = 'avg'
26.6872 	EXP 	window1: blendMode = 'avg'
26.7039 	EXP 	window1: blendMode = 'avg'
26.7213 	EXP 	window1: blendMode = 'avg'
26.7376 	EXP 	window1: blendMode = 'avg'
26.7539 	EXP 	window1: blendMode = 'avg'
26.7712 	EXP 	window1: blendMode = 'avg'
26.7873 	EXP 	window1: blendMode = 'avg'
26.8039 	EXP 	window1: blendMode = 'avg'
26.8206 	EXP 	window1: blendMode = 'avg'
26.8377 	EXP 	window1: blendMode = 'avg'
26.8539 	EXP 	window1: blendMode = 'avg'
26.8710 	EXP 	window1: blendMode = 'avg'
26.8872 	EXP 	window1: blendMode = 'avg'
26.9042 	EXP 	window1: blendMode = 'avg'
26.9207 	EXP 	window1: blendMode = 'avg'
26.9374 	EXP 	window1: blendMode = 'avg'
26.9539 	EXP 	window1: blendMode = 'avg'
26.9706 	EXP 	window1: blendMode = 'avg'
26.9872 	EXP 	window1: blendMode = 'avg'
27.0040 	EXP 	window1: blendMode = 'avg'
27.0209 	EXP 	window1: blendMode = 'avg'
27.0377 	EXP 	window1: blendMode = 'avg'
27.0540 	EXP 	window1: blendMode = 'avg'
27.0708 	EXP 	window1: blendMode = 'avg'
27.0873 	EXP 	window1: blendMode = 'avg'
27.1038 	EXP 	window1: blendMode = 'avg'
27.1205 	EXP 	window1: blendMode = 'avg'
27.1374 	EXP 	window1: blendMode = 'avg'
27.1542 	EXP 	window1: blendMode = 'avg'
27.1708 	EXP 	window1: blendMode = 'avg'
27.1872 	EXP 	window1: blendMode = 'avg'
27.2040 	EXP 	window1: blendMode = 'avg'
27.2206 	EXP 	window1: blendMode = 'avg'
27.2372 	EXP 	window1: blendMode = 'avg'
27.2537 	EXP 	window1: blendMode = 'avg'
27.2706 	EXP 	window1: blendMode = 'avg'
27.2872 	EXP 	window1: blendMode = 'avg'
27.3038 	EXP 	window1: blendMode = 'avg'
27.3203 	EXP 	window1: blendMode = 'avg'
27.3370 	EXP 	window1: blendMode = 'avg'
27.3536 	EXP 	window1: blendMode = 'avg'
27.3703 	EXP 	window1: blendMode = 'avg'
27.3870 	EXP 	window1: blendMode = 'avg'
27.4037 	EXP 	window1: blendMode = 'avg'
27.4204 	EXP 	window1: blendMode = 'avg'
27.4370 	EXP 	window1: blendMode = 'avg'
27.4536 	EXP 	window1: blendMode = 'avg'
27.4706 	EXP 	window1: blendMode = 'avg'
27.4871 	EXP 	window1: blendMode = 'avg'
27.5035 	EXP 	window1: blendMode = 'avg'
27.5204 	EXP 	window1: blendMode = 'avg'
27.5370 	EXP 	window1: blendMode = 'avg'
27.5538 	EXP 	window1: blendMode = 'avg'
27.5701 	EXP 	window1: blendMode = 'avg'
27.5871 	EXP 	window1: blendMode = 'avg'
27.6035 	EXP 	window1: blendMode = 'avg'
27.6202 	EXP 	window1: blendMode = 'avg'
27.6368 	EXP 	window1: blendMode = 'avg'
27.6536 	EXP 	window1: blendMode = 'avg'
27.6701 	EXP 	window1: blendMode = 'avg'
27.6873 	EXP 	window1: blendMode = 'avg'
27.7036 	EXP 	window1: blendMode = 'avg'
27.7204 	EXP 	window1: blendMode = 'avg'
27.7369 	EXP 	window1: blendMode = 'avg'
27.7536 	EXP 	window1: blendMode = 'avg'
