stimulus_color,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,colorChosen,prop_red,date,frameRate,expName,session,participant,
"[1, 0.5, 0]",0,0,0,5,"[1, 1, 0]",1,2017_Jun_15_0907,59.9221633288,OneStepFurther1,001,a,
"[1, 0.4, 0]",0,1,1,4,"[1, 1, 0]",1,2017_Jun_15_0907,59.9221633288,OneStepFurther1,001,a,
