14.6693 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
26.9318 	EXP 	window1: blendMode = 'avg'
26.9526 	DATA 	Mouse: Left button down, pos=(781,723)
26.9540 	EXP 	window1: blendMode = 'avg'
26.9652 	EXP 	window1: blendMode = 'avg'
26.9820 	EXP 	window1: blendMode = 'avg'
26.9988 	EXP 	window1: blendMode = 'avg'
27.0152 	EXP 	window1: blendMode = 'avg'
27.0161 	DATA 	Mouse:  Left button up, pos=(781,723)
27.0318 	EXP 	window1: blendMode = 'avg'
27.0487 	EXP 	window1: blendMode = 'avg'
27.0656 	EXP 	window1: blendMode = 'avg'
27.0821 	EXP 	window1: blendMode = 'avg'
27.0986 	EXP 	window1: blendMode = 'avg'
27.1152 	EXP 	window1: blendMode = 'avg'
27.1320 	EXP 	window1: blendMode = 'avg'
27.1484 	EXP 	window1: blendMode = 'avg'
27.1653 	EXP 	window1: blendMode = 'avg'
27.1820 	EXP 	window1: blendMode = 'avg'
27.1984 	EXP 	window1: blendMode = 'avg'
27.2151 	EXP 	window1: blendMode = 'avg'
27.2321 	EXP 	window1: blendMode = 'avg'
27.2486 	EXP 	window1: blendMode = 'avg'
27.2652 	EXP 	window1: blendMode = 'avg'
27.2819 	EXP 	window1: blendMode = 'avg'
27.2984 	EXP 	window1: blendMode = 'avg'
27.3152 	EXP 	window1: blendMode = 'avg'
27.3319 	EXP 	window1: blendMode = 'avg'
27.3485 	EXP 	window1: blendMode = 'avg'
27.3653 	EXP 	window1: blendMode = 'avg'
27.3819 	EXP 	window1: blendMode = 'avg'
27.3985 	EXP 	window1: blendMode = 'avg'
27.4151 	EXP 	window1: blendMode = 'avg'
27.4317 	EXP 	window1: blendMode = 'avg'
27.4484 	EXP 	window1: blendMode = 'avg'
27.4651 	EXP 	window1: blendMode = 'avg'
27.4820 	EXP 	window1: blendMode = 'avg'
27.4983 	EXP 	window1: blendMode = 'avg'
27.5151 	EXP 	window1: blendMode = 'avg'
27.5318 	EXP 	window1: blendMode = 'avg'
27.5487 	EXP 	window1: blendMode = 'avg'
27.5652 	EXP 	window1: blendMode = 'avg'
27.5818 	EXP 	window1: blendMode = 'avg'
27.5982 	EXP 	window1: blendMode = 'avg'
27.6151 	EXP 	window1: blendMode = 'avg'
27.6318 	EXP 	window1: blendMode = 'avg'
27.6483 	EXP 	window1: blendMode = 'avg'
27.6650 	EXP 	window1: blendMode = 'avg'
27.6818 	EXP 	window1: blendMode = 'avg'
27.6984 	EXP 	window1: blendMode = 'avg'
27.7150 	EXP 	window1: blendMode = 'avg'
27.7318 	EXP 	window1: blendMode = 'avg'
