stimulus_color,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,colorChosen,prop_red,date,frameRate,expName,session,participant,
"[1, 0.3, 0]",0,0,0,3,"[1, 0.34999999999999964, 0]",0.35,2017_Jun_14_2248,60.2546823129,OneStepFurther1,001,gi,
"[1, 0.2, 0]",0,1,1,2,"[1, 1, 0]",1,2017_Jun_14_2248,60.2546823129,OneStepFurther1,001,gi,
"[1, 0.9, 0]",0,2,2,9,"[1, 0.05000000000000007, 0]",0.05,2017_Jun_14_2248,60.2546823129,OneStepFurther1,001,gi,
"[1, 0.7, 0]",0,3,3,7,"[1, 0, 0]",0,2017_Jun_14_2248,60.2546823129,OneStepFurther1,001,gi,
"[1, 0.5, 0]",0,4,4,5,"[1, 0.49999999999999994, 0]",0.5,2017_Jun_14_2248,60.2546823129,OneStepFurther1,001,gi,
"[1, 0.6, 0]",0,5,5,6,"[1, 1, 0]",1,2017_Jun_14_2248,60.2546823129,OneStepFurther1,001,gi,
