17.1746 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
28.8378 	EXP 	window1: blendMode = 'avg'
28.8542 	EXP 	window1: blendMode = 'avg'
28.8709 	EXP 	window1: blendMode = 'avg'
28.8877 	EXP 	window1: blendMode = 'avg'
28.9043 	EXP 	window1: blendMode = 'avg'
28.9210 	EXP 	window1: blendMode = 'avg'
28.9375 	EXP 	window1: blendMode = 'avg'
28.9543 	EXP 	window1: blendMode = 'avg'
28.9711 	EXP 	window1: blendMode = 'avg'
28.9875 	EXP 	window1: blendMode = 'avg'
29.0041 	EXP 	window1: blendMode = 'avg'
29.0209 	EXP 	window1: blendMode = 'avg'
29.0377 	EXP 	window1: blendMode = 'avg'
29.0549 	EXP 	window1: blendMode = 'avg'
29.0709 	EXP 	window1: blendMode = 'avg'
29.0879 	EXP 	window1: blendMode = 'avg'
29.1039 	EXP 	window1: blendMode = 'avg'
29.1207 	EXP 	window1: blendMode = 'avg'
29.1376 	EXP 	window1: blendMode = 'avg'
29.1541 	EXP 	window1: blendMode = 'avg'
29.1707 	EXP 	window1: blendMode = 'avg'
29.1874 	EXP 	window1: blendMode = 'avg'
29.2040 	EXP 	window1: blendMode = 'avg'
29.2207 	EXP 	window1: blendMode = 'avg'
29.2374 	EXP 	window1: blendMode = 'avg'
29.2548 	EXP 	window1: blendMode = 'avg'
29.2710 	EXP 	window1: blendMode = 'avg'
29.2874 	EXP 	window1: blendMode = 'avg'
29.3039 	EXP 	window1: blendMode = 'avg'
29.3207 	EXP 	window1: blendMode = 'avg'
29.3376 	EXP 	window1: blendMode = 'avg'
29.3544 	EXP 	window1: blendMode = 'avg'
29.3707 	EXP 	window1: blendMode = 'avg'
29.3874 	EXP 	window1: blendMode = 'avg'
29.4041 	EXP 	window1: blendMode = 'avg'
29.4205 	EXP 	window1: blendMode = 'avg'
29.4376 	EXP 	window1: blendMode = 'avg'
29.4543 	EXP 	window1: blendMode = 'avg'
29.4708 	EXP 	window1: blendMode = 'avg'
29.4883 	EXP 	window1: blendMode = 'avg'
29.5040 	EXP 	window1: blendMode = 'avg'
29.5206 	EXP 	window1: blendMode = 'avg'
29.5371 	EXP 	window1: blendMode = 'avg'
29.5540 	EXP 	window1: blendMode = 'avg'
29.5704 	EXP 	window1: blendMode = 'avg'
29.5881 	EXP 	window1: blendMode = 'avg'
29.6038 	EXP 	window1: blendMode = 'avg'
29.6209 	EXP 	window1: blendMode = 'avg'
29.6373 	EXP 	window1: blendMode = 'avg'
29.6537 	EXP 	window1: blendMode = 'avg'
29.6708 	EXP 	window1: blendMode = 'avg'
29.6873 	EXP 	window1: blendMode = 'avg'
29.7039 	EXP 	window1: blendMode = 'avg'
29.7204 	EXP 	window1: blendMode = 'avg'
29.7373 	EXP 	window1: blendMode = 'avg'
29.7538 	EXP 	window1: blendMode = 'avg'
29.7708 	EXP 	window1: blendMode = 'avg'
29.7874 	EXP 	window1: blendMode = 'avg'
29.8038 	EXP 	window1: blendMode = 'avg'
29.8205 	EXP 	window1: blendMode = 'avg'
29.8370 	EXP 	window1: blendMode = 'avg'
29.8541 	EXP 	window1: blendMode = 'avg'
29.8710 	EXP 	window1: blendMode = 'avg'
29.8877 	EXP 	window1: blendMode = 'avg'
29.9042 	EXP 	window1: blendMode = 'avg'
29.9210 	EXP 	window1: blendMode = 'avg'
29.9374 	EXP 	window1: blendMode = 'avg'
29.9543 	EXP 	window1: blendMode = 'avg'
29.9708 	EXP 	window1: blendMode = 'avg'
29.9874 	EXP 	window1: blendMode = 'avg'
30.0044 	EXP 	window1: blendMode = 'avg'
30.0211 	EXP 	window1: blendMode = 'avg'
30.0376 	EXP 	window1: blendMode = 'avg'
30.0548 	EXP 	window1: blendMode = 'avg'
30.0713 	EXP 	window1: blendMode = 'avg'
30.0876 	EXP 	window1: blendMode = 'avg'
30.1036 	EXP 	window1: blendMode = 'avg'
30.1205 	EXP 	window1: blendMode = 'avg'
30.1374 	EXP 	window1: blendMode = 'avg'
30.1537 	EXP 	window1: blendMode = 'avg'
30.1705 	EXP 	window1: blendMode = 'avg'
30.1871 	EXP 	window1: blendMode = 'avg'
30.2040 	EXP 	window1: blendMode = 'avg'
30.2204 	EXP 	window1: blendMode = 'avg'
30.2369 	EXP 	window1: blendMode = 'avg'
30.2536 	EXP 	window1: blendMode = 'avg'
30.2705 	EXP 	window1: blendMode = 'avg'
30.2872 	EXP 	window1: blendMode = 'avg'
30.3037 	EXP 	window1: blendMode = 'avg'
30.3205 	EXP 	window1: blendMode = 'avg'
30.3371 	EXP 	window1: blendMode = 'avg'
30.3539 	EXP 	window1: blendMode = 'avg'
30.3704 	EXP 	window1: blendMode = 'avg'
30.3873 	EXP 	window1: blendMode = 'avg'
30.4035 	EXP 	window1: blendMode = 'avg'
30.4203 	EXP 	window1: blendMode = 'avg'
30.4369 	EXP 	window1: blendMode = 'avg'
30.4538 	EXP 	window1: blendMode = 'avg'
30.4703 	EXP 	window1: blendMode = 'avg'
30.4870 	EXP 	window1: blendMode = 'avg'
30.5037 	EXP 	window1: blendMode = 'avg'
30.5205 	EXP 	window1: blendMode = 'avg'
30.5369 	EXP 	window1: blendMode = 'avg'
30.5537 	EXP 	window1: blendMode = 'avg'
30.5703 	EXP 	window1: blendMode = 'avg'
30.5870 	EXP 	window1: blendMode = 'avg'
30.6036 	EXP 	window1: blendMode = 'avg'
30.6207 	EXP 	window1: blendMode = 'avg'
30.6375 	EXP 	window1: blendMode = 'avg'
30.6541 	EXP 	window1: blendMode = 'avg'
30.6706 	EXP 	window1: blendMode = 'avg'
30.6874 	EXP 	window1: blendMode = 'avg'
30.7044 	EXP 	window1: blendMode = 'avg'
30.7205 	EXP 	window1: blendMode = 'avg'
30.7373 	EXP 	window1: blendMode = 'avg'
30.7547 	EXP 	window1: blendMode = 'avg'
30.7709 	EXP 	window1: blendMode = 'avg'
30.7873 	EXP 	window1: blendMode = 'avg'
30.8041 	EXP 	window1: blendMode = 'avg'
30.8209 	EXP 	window1: blendMode = 'avg'
30.8371 	EXP 	window1: blendMode = 'avg'
30.8541 	EXP 	window1: blendMode = 'avg'
30.8707 	EXP 	window1: blendMode = 'avg'
30.8873 	EXP 	window1: blendMode = 'avg'
30.9035 	EXP 	window1: blendMode = 'avg'
30.9201 	EXP 	window1: blendMode = 'avg'
30.9368 	EXP 	window1: blendMode = 'avg'
30.9535 	EXP 	window1: blendMode = 'avg'
30.9700 	EXP 	window1: blendMode = 'avg'
30.9867 	EXP 	window1: blendMode = 'avg'
31.0035 	EXP 	window1: blendMode = 'avg'
31.0204 	EXP 	window1: blendMode = 'avg'
31.0367 	EXP 	window1: blendMode = 'avg'
31.0535 	EXP 	window1: blendMode = 'avg'
31.0703 	EXP 	window1: blendMode = 'avg'
31.0868 	EXP 	window1: blendMode = 'avg'
31.1036 	EXP 	window1: blendMode = 'avg'
31.1199 	EXP 	window1: blendMode = 'avg'
31.1368 	EXP 	window1: blendMode = 'avg'
31.1535 	EXP 	window1: blendMode = 'avg'
31.1699 	EXP 	window1: blendMode = 'avg'
31.1866 	EXP 	window1: blendMode = 'avg'
31.2036 	EXP 	window1: blendMode = 'avg'
31.2201 	EXP 	window1: blendMode = 'avg'
31.2366 	EXP 	window1: blendMode = 'avg'
31.2534 	EXP 	window1: blendMode = 'avg'
31.2702 	EXP 	window1: blendMode = 'avg'
31.2867 	EXP 	window1: blendMode = 'avg'
31.3033 	EXP 	window1: blendMode = 'avg'
31.3201 	EXP 	window1: blendMode = 'avg'
31.3367 	EXP 	window1: blendMode = 'avg'
31.3535 	EXP 	window1: blendMode = 'avg'
31.3699 	EXP 	window1: blendMode = 'avg'
31.3869 	EXP 	window1: blendMode = 'avg'
31.4034 	EXP 	window1: blendMode = 'avg'
31.4198 	EXP 	window1: blendMode = 'avg'
31.4366 	EXP 	window1: blendMode = 'avg'
31.4535 	EXP 	window1: blendMode = 'avg'
31.4700 	EXP 	window1: blendMode = 'avg'
31.4867 	EXP 	window1: blendMode = 'avg'
31.5034 	EXP 	window1: blendMode = 'avg'
31.5200 	EXP 	window1: blendMode = 'avg'
31.5366 	EXP 	window1: blendMode = 'avg'
31.5533 	EXP 	window1: blendMode = 'avg'
31.5700 	EXP 	window1: blendMode = 'avg'
31.5864 	EXP 	window1: blendMode = 'avg'
31.6034 	EXP 	window1: blendMode = 'avg'
31.6198 	EXP 	window1: blendMode = 'avg'
31.6365 	EXP 	window1: blendMode = 'avg'
31.6534 	EXP 	window1: blendMode = 'avg'
31.6700 	EXP 	window1: blendMode = 'avg'
31.6866 	EXP 	window1: blendMode = 'avg'
31.7033 	EXP 	window1: blendMode = 'avg'
31.7199 	EXP 	window1: blendMode = 'avg'
31.7366 	EXP 	window1: blendMode = 'avg'
31.7532 	EXP 	window1: blendMode = 'avg'
31.7699 	EXP 	window1: blendMode = 'avg'
31.7866 	EXP 	window1: blendMode = 'avg'
31.8033 	EXP 	window1: blendMode = 'avg'
31.8202 	EXP 	window1: blendMode = 'avg'
31.8364 	EXP 	window1: blendMode = 'avg'
31.8532 	EXP 	window1: blendMode = 'avg'
31.8698 	EXP 	window1: blendMode = 'avg'
31.8865 	EXP 	window1: blendMode = 'avg'
31.9032 	EXP 	window1: blendMode = 'avg'
31.9199 	EXP 	window1: blendMode = 'avg'
31.9366 	EXP 	window1: blendMode = 'avg'
31.9531 	EXP 	window1: blendMode = 'avg'
31.9697 	EXP 	window1: blendMode = 'avg'
31.9864 	EXP 	window1: blendMode = 'avg'
32.0033 	EXP 	window1: blendMode = 'avg'
32.0197 	EXP 	window1: blendMode = 'avg'
32.0365 	EXP 	window1: blendMode = 'avg'
32.0530 	EXP 	window1: blendMode = 'avg'
32.0697 	EXP 	window1: blendMode = 'avg'
32.0864 	EXP 	window1: blendMode = 'avg'
32.1032 	EXP 	window1: blendMode = 'avg'
32.1199 	EXP 	window1: blendMode = 'avg'
